['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['Deep Learning and Its Applications in Biomedicine']	['A multistage deep neural network model for blood pressure estimation using photoplethysmogram signals']	['Computers in Biology and Medicine']	['120']	[',103719']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Empirical study and enhancement on deep transfer learning for skin lesions detection']	['Journal of Theoretical and Applied Information Technology']	['98']	['(9)']	[',\npp.\n1351-1361\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Data-Driven Approaches for Spatio-Temporal Analysis: A Survey of the State-of-the-Arts']	['Journal of Computer Science and Technology']	['35']	['(3)']	[',\npp.\n665-696\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Integrating Artificial and Human Intelligence: A Partnership for Responsible Innovation in Biomedical Engineering and Medicine']	['OMICS A Journal of Integrative Biology']	['24']	['(5)']	[',\npp.\n247-263\n']	['2020']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning and Mathematical Models in Dermatology | [Deep learning y DerMATología]']	['Actas Dermo-Sifiliograficas']	['111']	['(3)']	[',\npp.\n192-195\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Detection and Monitoring of Thermal Lesions Induced by Microwave Ablation Using Ultrasound Imaging and Convolutional Neural Networks']	['IEEE Journal of Biomedical and Health Informatics']	['24']	['(4)']	[',8826270']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	["Deep learning algorithms for automated detection of Crohn's disease ulcers by video capsule endoscopy"]	['Gastrointestinal Endoscopy']	['91']	['(3)']	[',\npp.\n606-613.e2\n']	['2020']	['\n9\n']
['Deep Learning and Its Applications in Biomedicine']	['Image processing techniques represent innovative tools for comparative analysis of proteins']	['Computers in Biology and Medicine']	['117']	[',103584']	[]	['2020']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['The Birth of Bio-data Science: Trends, Expectations, and Applications']	['Genomics, Proteomics and Bioinformatics']	['18']	['(1)']	[',\npp.\n5-15\n']	['2020']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Autoantigenomics: Holistic characterization of autoantigen repertoires for a better understanding of autoimmune diseases']	['Autoimmunity Reviews']	['19']	['(2)']	[',102450']	['2020']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Artificial Neural Networks Training Acceleration Through Network Science Strategies']	['Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)']	['11974 LNCS']	[',\npp.\n330-336\n']	[]	['2020']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Disease inference on medical datasets using machine learning and deep learning algorithms']	['Advances in Intelligent Systems and Computing']	['1108 AISC']	[',\npp.\n902-908\n']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Accelerated deep learning in proteomics—A review']	['Lecture Notes in Electrical Engineering']	['630']	[',\npp.\n291-300\n']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['A Novel Detection System for Human Retina Based on Fuzzification Neural Network']	['Communications in Computer and Information Science']	['1174 CCIS']	[',\npp.\n157-170\n']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Artificial neural networks training acceleration through network science strategies']	['Soft Computing']	[]	[]	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	["Ulcer severity grading in video capsule images of patients with Crohn's disease: an ordinal neural network solution"]	['Gastrointestinal Endoscopy']	[]	[]	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Progress of artificial intelligence for precision medicine in thyroid cancer']	['Chinese Journal of Clinical Oncology']	['47']	['(7)']	[',\npp.\n369-374\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Deep learning techniques for automatic detection of embryonic neurodevelopmental disorders']	['Diagnostics']	['10']	['(1)']	[',27']	['2020']	['\n1\n\t\t                                ']
['Deep Learning and Its Applications in Biomedicine']	['Artificial intelligence technique for gene expression by tumor RNA-Seq Data: A novel optimized deep learning approach']	['IEEE Access']	['8']	[',8974295']	[',\npp.\n22874-22883\n']	['2020']	['\n7\n']
['Deep Learning and Its Applications in Biomedicine']	['Realizing an Efficient IoMT-Assisted Patient Diet Recommendation System Through Machine Learning Model']	['IEEE Access']	['8']	[',8964364']	[',\npp.\n28462-28474\n']	['2020']	['\n11\n']
['Deep Learning and Its Applications in Biomedicine']	['Automation of data analysis in molecular cancer imaging and its potential impact on future clinical practice']	['Methods']	[]	[]	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Artificial Intelligence in Service Delivery Systems: A Systematic Literature Review']	['Advances in Intelligent Systems and Computing']	['1159 AISC']	[',\npp.\n222-233\n']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['A survey on machine learning algorithms for the diagnosis of breast masses with mammograms']	['Current Medical Imaging Reviews']	['16']	['(6)']	[',\npp.\n639-652\n']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Machine learning approaches in OCT: Application to neurodegenerative disorders']	[]	['\npp.\n507-521\n']	[]	[]	['2020']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning Methods for Mitosis Detection in Breast Cancer Histopathological Images: A Comprehensive Review']	['Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)']	['12090 LNCS']	[',\npp.\n279-306\n']	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['The state of the art of deep learning models in medical science and their challenges']	['Multimedia Systems']	[]	[]	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Classification, Categorization, and Algorithms for Articular Cartilage Defects']	['Journal of Knee Surgery']	[]	[]	[]	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Comparison of decision trees and deep learning for object classification in autonomous driving']	[]	['\npp.\n135-158\n']	[]	[]	['2020']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Artificial Intelligence (AI) and Big Data for Coronavirus (COVID-19) Pandemic: A Survey on the State-of-the-Arts']	['IEEE Access']	['8']	[',9141265']	[',\npp.\n130820-130839\n']	['2020']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['High-dimensionality data analysis of pharmacological systems associated with complex diseases']	['Pharmacological Reviews']	['72']	['(1)']	[',\npp.\n191-217\n']	['2020']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Bimodal learning via trilogy of skip-connection deep networks for diabetic retinopathy risk progression identification']	['International Journal of Medical Informatics']	['132']	[',103926']	[]	['2019']	['\n9\n']
['Deep Learning and Its Applications in Biomedicine']	['Using machine learning to explain the heterogeneity of schizophrenia. Realizing the promise and avoiding the hype']	['Schizophrenia Research']	['214']	[',\npp.\n70-75\n']	[]	['2019']	['\n4\n']
['Deep Learning and Its Applications in Biomedicine']	['Revolution in biomedicine using emerging of picomaterials: A breakthrough on the future of medical diagnosis and therapy']	['Biomedicine and Pharmacotherapy']	['120']	[',109484']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Applications of deep learning and artificial intelligence in Retina']	['International Ophthalmology Clinics']	['59']	['(1)']	[',\npp.\n39-57\n                        ']	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['ADMET Evaluation in Drug Discovery. 19. Reliable Prediction of Human Cytochrome P450 Inhibition Using Artificial Intelligence Approaches']	['Journal of Chemical Information and Modeling']	['59']	['(11)']	[',\npp.\n4587-4601\n']	['2019']	['\n4\n']
['Deep Learning and Its Applications in Biomedicine']	['Optimal deep transfer learning framework for feature selection based brain tumor image classification']	['International Journal of Advanced Science and Technology']	['28']	['(14)']	[',\npp.\n319-336\n']	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Survey on Big Data Analytics in Health Care']	[]	['8987882']	[',\npp.\n46-51\n']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Artificial intelligence in Pathological Anatomy | [Inteligencia artificial en Anatomía Patológica]']	['Revista Espanola de Patologia']	['52']	['(4)']	[',\npp.\n205-207\n']	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['2D photogrammetry image of scoliosis lenke type classification using deep learning']	[]	['8906428']	[',\npp.\n437-440\n']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Deep learning and machine vision approaches for posture detection of individual pigs']	['Sensors (Switzerland)']	['19']	['(17)']	[',3738']	['2019']	['\n10\n']
['Deep Learning and Its Applications in Biomedicine']	['Prospect of using deep learning for predicting differentiation of myeloid progenitor cells after sepsis']	['Chinese Medical Journal']	['132']	['(15)']	[',\npp.\n1862-1864\n']	['2019']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['MRI-only brain radiotherapy: Assessing the dosimetric accuracy of synthetic CT images generated using a deep learning approach']	['Radiotherapy and Oncology']	['136']	[',\npp.\n56-63\n']	[]	['2019']	['\n16\n']
['Deep Learning and Its Applications in Biomedicine']	['A dropout-regularized classifier development approach optimized for precision medicine test discovery from omics data']	['BMC Bioinformatics']	['20']	['(1)']	[',325']	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Feature extraction of ECG signal by using deep feature']	[]	['8757522']	[]	[]	['2019']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Applications of deep learning for the analysis of medical data']	['Archives of Pharmacal Research']	['42']	['(6)']	[',\npp.\n492-504\n']	['2019']	['\n7\n']
['Deep Learning and Its Applications in Biomedicine']	['Using stem cell–derived neurons in drug screening for neurological diseases']	['Neurobiology of Aging']	['78']	[',\npp.\n130-141\n']	[]	['2019']	['\n10\n']
['Deep Learning and Its Applications in Biomedicine']	['Deep learning and big data in healthcare: A double review for critical beginners']	['Applied Sciences (Switzerland)']	['9']	['(11)']	[',2331']	['2019']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Deep learning based liver cancer detection using watershed transform and Gaussian mixture model techniques']	['Cognitive Systems Research']	['54']	[',\npp.\n165-175\n']	[]	['2019']	['\n18\n']
['Deep Learning and Its Applications in Biomedicine']	['Application of deep transfer learning for automated brain abnormality classification using MR images']	['Cognitive Systems Research']	['54']	[',\npp.\n176-188\n']	[]	['2019']	['\n85\n']
['Deep Learning and Its Applications in Biomedicine']	['Enhanced Deep Learning Approach for Predicting Invasive Ductal Carcinoma from Histopathology Images']	[]	['8837044']	[',\npp.\n142-148\n']	[]	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Improving the drug discovery process by using multiple classifier systems']	['Expert Systems with Applications']	['121']	[',\npp.\n292-303\n']	[]	['2019']	['\n10\n']
['Deep Learning and Its Applications in Biomedicine']	['An overview of deep learning in medical imaging focusing on MRI']	['Zeitschrift fur Medizinische Physik']	['29']	['(2)']	[',\npp.\n102-127\n']	['2019']	['\n129\n']
['Deep Learning and Its Applications in Biomedicine']	['A deep learning approach for predicting the active phytochemical constituent’s presence in premna latifolia leaf extracts data set']	['International Journal of Advanced Science and Technology']	['29']	['(5)']	[',\npp.\n1075-1080\n']	['2019']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning Neural Networks Highly Predict Very Early Onset of Pluripotent Stem Cell Differentiation']	['Stem Cell Reports']	['12']	['(4)']	[',\npp.\n845-859\n']	['2019']	['\n5\n']
['Deep Learning and Its Applications in Biomedicine']	['Neural network: A future in pathology? | [Intelligence artificielle: quel avenir en anatomie pathologique ?]']	['Annales de Pathologie']	['39']	['(2)']	[',\npp.\n119-129\n']	['2019']	['\n5\n']
['Deep Learning and Its Applications in Biomedicine']	['Deep learning in the biomedical applications: Recent and future status']	['Applied Sciences (Switzerland)']	['9']	['(8)']	[',1526']	['2019']	['\n           12\n']
['Deep Learning and Its Applications in Biomedicine']	['Parallel Computing in Deep Learning: Bioinformatics Case Studiesa']	[]	['8671556']	[',\npp.\n329-333\n']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Deep learning and radiomics in precision medicine']	['Expert Review of Precision Medicine and Drug Development']	['4']	['(2)']	[',\npp.\n59-72\n']	['2019']	['\n23\n']
['Deep Learning and Its Applications in Biomedicine']	['T4SS effector protein prediction with deep learning']	['Data']	['4']	['(1)']	[',45']	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['An Overview of Machine Learning and HPC in Open Sources for Bioinformatics']	[]	['8621078']	[',\npp.\n1338-1342\n']	[]	['2019']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['Computational approaches for the analysis of RNA–protein interactions: A primer for biologists']	['Journal of Biological Chemistry']	['294']	['(1)']	[',\npp.\n1-9\n']	['2019']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['A Multi-class Deep All-CNN for\xa0Detection of Diabetic Retinopathy Using Retinal Fundus Images']	['Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)']	['11941 LNCS']	[',\npp.\n191-199\n']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Object detection based on deep convolutional neural network']	['Acta Microscopica']	['28']	['(2)']	[',\npp.\n331-338\n']	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['A Modified Deep Convolutional Neural Network for Abnormal Brain Image Classification']	['IEEE Access']	['7']	[',8571163']	[',\npp.\n4275-4283\n']	['2019']	['\n25\n']
['Deep Learning and Its Applications in Biomedicine']	['Classification of cancer drug compounds for radiation protection optimization using CART']	['Procedia Computer Science']	['161']	[',\npp.\n458-465\n']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Non-linear dynamics analysis of protein sequences. Application to CYP450']	['Entropy']	['21']	['(9)']	[',852']	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Comparison of Deep Learning-Based Recognition Techniques for Medical and Biomedical Images']	['Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)']	['11678 LNCS']	[',\npp.\n492-504\n']	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Viral Genome Deep Classifier']	['IEEE Access']	['7']	[',8740852']	[',\npp.\n81297-81307\n']	['2019']	['\n1\n']
['Deep Learning and Its Applications in Biomedicine']	['A stacked autoencoder-based miRNA regulatory module detection framework']	['International Journal of Computational Intelligence Systems']	['12']	['(2)']	[',\npp.\n822-832\n']	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['An introduction to artificial intelligence applications in medicine: Historical aspects | [Una introducción a las aplicaciones de la inteligencia artificial en Medicina: Aspectos históricos]']	['Revista Latinoamericana de Hipertension']	['14']	['(5)']	[',\npp.\n590-600\n']	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Preparing next-generation scientists for biomedical big data: Artificial intelligence approaches']	['Personalized Medicine']	['16']	['(3)']	[',\npp.\n247-257\n']	['2019']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Translating the hemodynamic response: Why focused interdisciplinary integration should matter for the future of functional neuroimaging']	['PeerJ']	['2019']	['(3)']	[',e6621']	['2019']	['\n3\n']
['Deep Learning and Its Applications in Biomedicine']	['Computational prediction of functions of intrinsically disordered regions']	['Progress in Molecular Biology and Translational Science']	['166']	[',\npp.\n341-369\n']	[]	['2019']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Integrated multilayer microfluidic platforms with silicon architectures for next-generation health diagnostic systems']	[]	['\npp.\n361-396\n']	[]	[]	['2019']	[]
['Deep Learning and Its Applications in Biomedicine']	['Enhanced molecular appreciation of psychiatric disorders through high-dimensionality data acquisition and analytics']	['Methods in Molecular Biology']	['2011']	[',\npp.\n671-723\n']	[]	['2019']	['\n4\n']
['Deep Learning and Its Applications in Biomedicine']	['An overview of neural networks for drug discovery and the inputs used']	['Expert Opinion on Drug Discovery']	['13']	['(12)']	[',\npp.\n1091-1102\n']	['2018']	['\n8\n']
['Deep Learning and Its Applications in Biomedicine']	['Integration of A Deep Learning Classifier with A Random Forest Approach for Predicting Malonylation Sites']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n451-459\n']	['2018']	['\n17\n']
['Deep Learning and Its Applications in Biomedicine']	['State-of-the-art in artificial neural network applications: A survey']	['Heliyon']	['4']	['(11)']	[',e00938']	['2018']	['\n104\n']
['Deep Learning and Its Applications in Biomedicine']	['Photoplethysmography and deep learning: Enhancing hypertension risk stratification']	['Biosensors']	['8']	['(4)']	[',101']	['2018']	['\n17\n']
['Deep Learning and Its Applications in Biomedicine']	['Making expert decisions easier to fathom: On the explainability of visual object recognition expertise']	['Frontiers in Neuroscience']	['12']	['(OCT)']	[',670']	['2018']	['\n2\n']
['Deep Learning and Its Applications in Biomedicine']	['Temporal Topic Correlation and Evolution']	[]	['8457380']	[]	[]	['2018']	[]
['Deep Learning and Its Applications in Biomedicine']	['The application of deep learning in biomedical informatics']	[]	['\npp.\n391-394\n']	[]	[]	['2018']	[]
['Deep Learning and Its Applications in Biomedicine']	['Improving early prostate cancer diagnosis by using Artificial Neural Networks and Deep Learning']	[]	['8700542']	[',\npp.\n39-42\n']	[]	['2018']	[]
['Deep Learning and Its Applications in Biomedicine']	['Application of deep learning in biological mass spectrometry and proteomics']	['Progress in Biochemistry and Biophysics']	['45']	['(12)']	[',\npp.\n1214-1223\n']	['2018']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['N6-methyladenosine RNA modification in cancer therapeutic resistance: Current status and perspectives']	['Biochemical Pharmacology']	['182']	[',114258']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Epitranscriptomics and epiproteomics in cancer drug resistance: therapeutic implications']	['Signal Transduction and Targeted Therapy']	['5']	['(1)']	[',193']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['YTHDF2 correlates with tumor immune infiltrates in lower-grade glioma']	['Aging']	['12']	['(18)']	[',\npp.\n18476-18500\n']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['N', '-Adenosine methylation on mRNA is recognized by YTH2 domain protein of human malaria parasite Plasmodium falciparum']	['Epigenetics and Chromatin']	['13']	['(1)']	[',33']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Roles of METTL3 in cancer: Mechanisms and therapeutic targeting']	['Journal of Hematology and Oncology']	['13']	['(1)']	[',117']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['m', 'A Reader: Epitranscriptome Target Prediction and Functional Characterization of N', '-Methyladenosine (m', 'A) Readers']	['Frontiers in Cell and Developmental Biology']	['8']	[',741']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Sex-Dependent RNA Editing and N6-adenosine RNA Methylation Profiling in the Gonads of a Fish, the Olive Flounder (Paralichthys olivaceus)']	['Frontiers in Cell and Developmental Biology']	['8']	[',751']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Reshaping the role of m6A modification in cancer transcriptome: A review']	['Cancer Cell International']	['20']	['(1)']	[',353']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Structural and Virus Regulatory Insights Into Avian N6-Methyladenosine (m6A) Machinery']	['Frontiers in Cell and Developmental Biology']	['8']	[',543']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Mechanisms of RNA N', '-Methyladenosine in Hepatocellular Carcinoma: From the Perspectives of Etiology']	['Frontiers in Oncology']	['10']	[',1105']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['m', 'A RNA Methylation Regulators Contribute to Eutopic Endometrium and Myometrium Dysfunction in Adenomyosis']	['Frontiers in Genetics']	['11']	[',716']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['The emerging molecular mechanism of m', 'A modulators in tumorigenesis and cancer progression']	['Biomedicine and Pharmacotherapy']	['127']	[',110098']	[]	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Genome-wide identification and expression analysis of YTH domain-containing RNA-binding protein family in common wheat']	['BMC Plant Biology']	['20']	['(1)']	[',351']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['METTL14-mediated N6-methyladenosine modification of SOX4 mRNA inhibits tumor metastasis in colorectal cancer']	['Molecular Cancer']	['19']	['(1)']	[',106']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Recent developments of small molecules targeting RNA m', 'A modulators']	['European Journal of Medicinal Chemistry']	['196']	[',112325']	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['N', '-methyladenosine (m', 'A) methylation in ischemia–reperfusion injury']	['Cell Death and Disease']	['11']	['(6)']	[',478']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Role of RNA modifications in cancer']	['Nature Reviews Cancer']	['20']	['(6)']	[',\npp.\n303-322\n']	['2020']	['\n11\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Long noncoding RNA pncRNA-D reduces cyclin D1 gene expression and arrests cell cycle through RNAm', 'A modification']	['Journal of Biological Chemistry']	['295']	['(17)']	[',\npp.\n5626-5639\n']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Coordination of mRNA and tRNA methylations by TRMT10A']	['Proceedings of the National Academy of Sciences of the United States of America']	['117']	['(14)']	[',\npp.\n7782-7791\n']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['How RNA-Binding Proteins Interact with RNA: Molecules and Mechanisms']	['Molecular Cell']	['78']	['(1)']	[',\npp.\n9-29\n']	['2020']	['\n6\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Resveratrol attenuates aflatoxin b', '-induced ros formation and increase of m', 'a rna methylation']	['Animals']	['10']	['(4)']	[',677']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Discovering the RNA-binding proteome of plant leaves with an improved RNA interactome capture method']	['Biomolecules']	['10']	['(4)']	[',661']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Writers, readers and erasers of RNA modifications in cancer']	['Cancer Letters']	['474']	[',\npp.\n127-137\n']	[]	['2020']	['\n7\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Epigenetic modulations of noncoding RNA: A novel dimension of Cancer biology']	['Molecular Cancer']	['19']	['(1)']	[',64']	['2020']	['\n4\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Selectively Disrupting m', 'A-Dependent Protein-RNA Interactions with Fragments']	['ACS Chemical Biology']	['15']	['(3)']	[',\npp.\n618-625\n']	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['METTL3 modulates osteoclast differentiation and function by controlling RNA stability and nuclear export']	['International Journal of Molecular Sciences']	['21']	['(5)']	[',1660']	['2020']	['\n7\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Expression and prognostic significance of m6A-related genes in lung adenocarcinoma']	['Medical Science Monitor']	['26']	[',e919644']	[]	['2020']	['\n4\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['YTHDF2 Recognition of N', '-Methyladenosine (m', 'A)-Modified RNA Is Associated with Transcript Destabilization']	['ACS Chemical Biology']	['15']	['(1)']	[',\npp.\n132-139\n']	['2020']	['\n3\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['The structure of the Thermococcus gammatolerans McrB N-terminal domain reveals a new mode of substrate recognition and specificity among McrB homologs']	['Journal of Biological Chemistry']	['295']	['(3)']	[',\npp.\n743-756\n']	['2020']	['\n1\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Transcriptome-wide map of m', 'A circRNAs identified in a rat model of hypoxia mediated pulmonary hypertension']	['BMC Genomics']	['21']	['(1)']	[',39']	['2020']	['\n2\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['H, ', 'C and ', 'N resonance assignment of the YTH domain of YTHDC2']	['Biomolecular NMR Assignments']	[]	[]	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['YTHDF2 promotes spermagonial adhesion through modulating MMPs decay via m', 'A/mRNA pathway']	['Cell Death and Disease']	['11']	['(1)']	[',37']	['2020']	['\n4\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Ten-eleven translocation proteins and their role beyond DNA demethylation–what we can learn from the fly']	['Epigenetics']	[]	[]	[]	['2020']	[]
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Dysregulated N6-methyladenosine\xa0methylation writer METTL3 contributes to the proliferation and migration of gastric cancer']	['Journal of Cellular Physiology']	['235']	['(1)']	[',\npp.\n548-562\n']	['2020']	['\n22\n']
['YTH Domain: A Family of N', '-methyladenosine (m', 'A) Readers']	['Emerging role of m', 'A RNA methylation in nutritional physiology and metabolism']	['Obesity Reviews']	['21']	['(1)']	[',e12942']	['2020']	['\n4\n']
